"Phase","FLDNAME","TBLNAME","CRFNAME","TEXT","TYPE","LENGTH","CODE","UNITS"
"ADNI1","TEMPMIDR","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","TEMPPLMIDL","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","TEMPPLMIDR","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","TEMPINFL","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","TEMPINFR","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","CEREBCR1L","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","CEREBCR1R","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","CEREBCR2L","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","CEREBCR2R","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","CEREB3L","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","CEREB3R","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","CEREB45L","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","CEREB45R","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","CEREB6L","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","CEREB6R","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","CEREB7BL","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","CEREB7BR","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","CEREB8L","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","CEREB8R","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","CEREB9L","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","CEREB9R","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","CEREB10L","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","CEREB10R","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","VERMIS12","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","VERMIS3","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","VERMIS45","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","VERMIS6","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","VERMIS7","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","VERMIS8","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","VERMIS9","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","VERMIS10","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","ETIV","UASPMVBM","UA (Gene Alexander) MRI SPM voxel based morphometry (VBM) analysis","","N","8","",""
"ADNI1","RID","UCBERKELEYAV45","UC Berkeley - AV45 analysis","Participant roster ID","T","10","-4",""
"ADNI1","EXAMDATE","UCBERKELEYAV45","UC Berkeley - AV45 analysis","Date of AV45 scan","D","7","-4",""
"ADNI1","COLPROT","UCBERKELEYAV45","UC Berkeley - AV45 analysis","Study protocol of data collection","T","10","-4",""
"ADNI1","VISCODE","UCBERKELEYAV45","UC Berkeley - AV45 analysis","Visit code","T","3","-4",""
"ADNI1","VISCODE2","UCBERKELEYAV45","UC Berkeley - AV45 analysis","Translated visit code","T","3","-4",""
"ADNI1","VISNAME","UCBERKELEYAV45","UC Berkeley - AV45 analysis","Viscode corersponding to AV45 scan","T","3","-4",""
"ADNI1","CEREBELLUMGREYMATTER","UCBERKELEYAV45","UC Berkeley - AV45 analysis","Reference region - florbetapir mean of cerebellar grey matter.  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details","","-4","-4","av45 uptake - reference region"
"ADNI1","WHOLECEREBELLUM","UCBERKELEYAV45","UC Berkeley - AV45 analysis","Reference region - florbetapir mean of whole cerebellum.  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details","N","-4","-4","av45 uptake - reference region"
"ADNI1","BRAINSTEM","UCBERKELEYAV45","UC Berkeley - AV45 analysis","Reference region - florbetapir mean of brainstem.  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details","N","-4","-4","av45 uptake - reference region"
"ADNI1","FRONTAL","UCBERKELEYAV45","UC Berkeley - AV45 analysis","Weighted florbetapir mean in frontal regions.  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details","N","-4","-4","av45 uptake in cortical grey matter"
"ADNI1","CINGULATE","UCBERKELEYAV45","UC Berkeley - AV45 analysis","Weighted florbetapir mean in anterior/posterior cingulate regions.  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details","N","-4","-4","av45 uptake in cortical grey matter"
"ADNI1","PARIETAL","UCBERKELEYAV45","UC Berkeley - AV45 analysis","Weighted florbetapir mean in lateral parietal regions.  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details","N","-4","-4","av45 uptake in cortical grey matter"
"ADNI1","TEMPORAL","UCBERKELEYAV45","UC Berkeley - AV45 analysis","Weighted florbetapir mean in lateral temporal regions.  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details","N","-4","-4","av45 uptake in cortical grey matter"
"ADNI1","SUMMARYSUVR_WHOLECEREBNORM","UCBERKELEYAV45","UC Berkeley - AV45 analysis","Summary florbetapir cortical SUVR normalized by whole cerebellum.  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details and cutoff info","N","-4","-4","av45 ratio (cortical grey matter/whole cerebellum)"
"ADNI1","RID","UCBERKELEYFDG","UC Berkeley - FDG analysis","Participant roster ID","-4","-4","-4","-4"
"ADNI1","VISCODE","UCBERKELEYFDG","UC Berkeley - FDG analysis","Visit code","T","-4","-4",""
"ADNI1","VISCODE2","UCBERKELEYFDG","UC Berkeley - FDG analysis","Translated visit code","-4","-4","-4","-4"
"ADNI1","UID","UCBERKELEYFDG","UC Berkeley - FDG analysis","","T","-4","-4",""
"ADNI1","EXAMDATE","UCBERKELEYFDG","UC Berkeley - FDG analysis","Date of FDG scan","D","-4","-4",""
"ADNI1","ROINAME","UCBERKELEYFDG","UC Berkeley - FDG analysis","Location of Meta ROI (for methods, see Landau et al., Neurology, 2010 or email slandau@berkeley.edu)","T","-4","-4",""
"ADNI1","ROILAT","UCBERKELEYFDG","UC Berkeley - FDG analysis","Laterality of ROI","T","-4","-4",""
"ADNI1","MEAN","UCBERKELEYFDG","UC Berkeley - FDG analysis","mean of FDG-PET within ROI","N","3","-4","glucose metabolism normalized to pons"
"ADNI1","MEDIAN","UCBERKELEYFDG","UC Berkeley - FDG analysis","median of FDG-PET within ROI","N","3","-4","glucose metabolism normalized to pons"
"ADNI1","MODE","UCBERKELEYFDG","UC Berkeley - FDG analysis","mode of FDG-PET within ROI","N","3","-4","glucose metabolism normalized to pons"
"ADNI1","MIN","UCBERKELEYFDG","UC Berkeley - FDG analysis","min of FDG-PET within ROI","N","3","-4","glucose metabolism normalized to pons"
"ADNI1","MAX","UCBERKELEYFDG","UC Berkeley - FDG analysis","max of FDG-PET within ROI","N","3","-4","glucose metabolism normalized to pons"
"ADNI1","STDEV","UCBERKELEYFDG","UC Berkeley - FDG analysis","standard deviation of FDG-PET within ROI","N","3","-4","glucose metabolism normalized to pons"
"ADNI1","NANVOX","UCBERKELEYFDG","UC Berkeley - FDG analysis","total number of zero or NaN voxels within ROI","N","7","-4","voxels"
"ADNI1","TOTVOX","UCBERKELEYFDG","UC Berkeley - FDG analysis","total number of voxels within ROI","N","7","-4","voxels"
"ADNI1","ID","UCBPET","Jagust Lab (UCB) - PET ROI analysis","Record ID","N","38","""crfname"",""Jagust Lab (UCB) - PET ROI analysis"",""indexes"",""adni_ucbpet_idx=RID,VISCODE,ENTRY,RECNO"",""notnullcols"",""ID,RID,SITEID,VISCODE,ENTRY,USERID,USERDATE,RECNO""",""
"ADNI1","RID","UCBPET","Jagust Lab (UCB) - PET ROI analysis","Participant roster ID","N","38 digits","",""
"ADNI1","SITEID","UCBPET","Jagust Lab (UCB) - PET ROI analysis","Site ID","N","38 digits","",""
"ADNI1","VISCODE","UCBPET","Jagust Lab (UCB) - PET ROI analysis","Visit code","T","20 characters","",""
"ADNI1","ENTRY","UCBPET","Jagust Lab (UCB) - PET ROI analysis","","N","1 digit","",""
"ADNI1","VERIFY","UCBPET","Jagust Lab (UCB) - PET ROI analysis","","N","1 digit","",""
"ADNI1","USERID","UCBPET","Jagust Lab (UCB) - PET ROI analysis","","T","100 characters","",""
"ADNI1","USERDATE","UCBPET","Jagust Lab (UCB) - PET ROI analysis","Date record created","S","100 digits","",""
"ADNI1","RECNO","UCBPET","Jagust Lab (UCB) - PET ROI analysis","","N","38 digits","",""
"ADNI1","EXAMDATE","UCBPET","Jagust Lab (UCB) - PET ROI analysis","EXAMDATE","D","10","",""
"ADNI1","IMAGEUID","UCBPET","Jagust Lab (UCB) - PET ROI analysis","imageUID","T","20","",""
"ADNI1","ROITYPE","UCBPET","Jagust Lab (UCB) - PET ROI analysis","ROI based on standard MNI regions or MetaROIs","T","50","",""
"ADNI1","MROITYPE","UCBPET","Jagust Lab (UCB) - PET ROI analysis","If MetaROIs, cross-sectional or longitudinal","T","50","",""
"ADNI1","ROINAME","UCBPET","Jagust Lab (UCB) - PET ROI analysis","Location of ROI","T","50","",""
"ADNI1","ROILAT","UCBPET","Jagust Lab (UCB) - PET ROI analysis","Laterality of ROI","T","50","",""
"ADNI1","NORMMETH","UCBPET","Jagust Lab (UCB) - PET ROI analysis","method used to normalize PET data","T","50","",""
"ADNI1","MEAN","UCBPET","Jagust Lab (UCB) - PET ROI analysis","mean of FDG-PET within ROI","N","10,5","",""
"ADNI1","MED","UCBPET","Jagust Lab (UCB) - PET ROI analysis","median of FDG-PET within ROI","N","10,5","",""
"ADNI1","MODE","UCBPET","Jagust Lab (UCB) - PET ROI analysis","mode of FDG-PET within ROI","N","10,5","",""
"ADNI1","MIN","UCBPET","Jagust Lab (UCB) - PET ROI analysis","min of FDG-PET within ROI","N","10,5","",""
"ADNI1","MAX","UCBPET","Jagust Lab (UCB) - PET ROI analysis","max of FDG-PET within ROI","N","10,5","",""
"ADNI1","STDEV","UCBPET","Jagust Lab (UCB) - PET ROI analysis","standard deviation of FDG-PET within ROI","N","10,5","",""
"ADNI1","NANVOX","UCBPET","Jagust Lab (UCB) - PET ROI analysis","total number of zero or NaN voxels within ROI","N","10","",""
"ADNI1","TOTVOX","UCBPET","Jagust Lab (UCB) - PET ROI analysis","total number of voxels within ROI","N","10","",""
"ADNI1","SX","UCBPET","Jagust Lab (UCB) - PET ROI analysis","","N","10 digits","",""
"ADNI1","USERID2","UCBPET","Jagust Lab (UCB) - PET ROI analysis","","T","100 characters","",""
"ADNI1","USERDATE2","UCBPET","Jagust Lab (UCB) - PET ROI analysis","Date record last updated","S","100 digits","",""
"ADNI1","RID","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","Participant roster ID","N","38 digits","-4","-4"
"ADNI1","VISITNUM","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","N","38 digits","-4","-4"
"ADNI1","VISCODE","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","Visit code","T","10 characters","-4","-4"
"ADNI1","EXAMDATE","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","Examination Date","D","10","-4","-4"
"ADNI1","LONISID","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","LONISID","T","20","-4","-4"
"ADNI1","QCPASS","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","N","1","-4","-4"
"ADNI1","BRAIN","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","Whole Brain. A summary measure of total brain parenchyma, including the Cerebral-Cortex, Cerebellum-Cortex, Thalamus-Proper, CaudatePutamen, Pallidum, Hippocampus, Amygdala, Accumbens-area, VentralDC, Cerebral-White-Matter, Cerebellum-White-Matter, and WM-hypointensities. As such, it does not include ventricles or other CSF spaces, and is not intended to be used as a measure of intracranial volume.","N","9","-4","mm3"
"ADNI1","EICV","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","Estimated Intracranial Volume, aka eTIV. To generate the mask, the baseline image is automatically segmented; all thus-defined brain and ventricular voxels are given the value 1 with all other voxels 0. This binary mask is then repeatedly smoothed with a Gaussian kernel to produce a simply connected uniform mask, covering all sulci, whose boundary tapers smoothly from 1 to 0 over the length of a few voxels. Ideally, the mask would end on the skull and include the brain stem down to where it starts to bend with the neck. The smoothing can be controlled fairly nicely to begin tapering at the skull, so that voxels with a mask value less than 1 can  be considered outside the ICV and therefore ignored.","N","9","-4","mm3"
"ADNI1","VENTRICLES","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","Ventricles","N","9","-4","mm3"
"ADNI1","LHIPPOC","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","Left Hippocampus","N","6","-4","mm3"
"ADNI1","RHIPPOC","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","Right Hippocampus","N","6","-4","mm3"
"ADNI1","LINFLATVEN","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","Left inferior lateral ventricle","N","6","-4","mm3"
"ADNI1","RINFLATVEN","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","Right inferior lateral ventricle","N","6","-4","mm3"
"ADNI1","LMIDTEMP","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","Left Middle Temporal","N","5","-4","mm"
"ADNI1","RMIDTEMP","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","Right Middle Temporal","N","5","-4","mm"
"ADNI1","LINFTEMP","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","Left Inferior Temporal","N","5","-4","mm"
"ADNI1","RINFTEMP","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","Right Inferior Temporal","N","5","-4","mm"
"ADNI1","LFUSIFORM","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","Left Fusiform","N","5","-4","mm"
"ADNI1","RFUSIFORM","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","Right Fusiform","N","5","-4","mm"
"ADNI1","LENTORHIN","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","Left Entorhinal","N","5","-4","mm"
"ADNI1","RENTORHIN","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","Right Entorhinal","N","5","-4","mm"
"ADNI1","RID","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Participant roster ID","N","-4","-4",""
"ADNI1","EXAMDATE","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","","D","-4","-4",""
"ADNI1","COLPROT","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Study protocol of data collection","-4","-4","-4","-4"
"ADNI1","VISCODE","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Visit code","-4","-4","-4","-4"
"ADNI1","VISCODE2","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Translated visit code","-4","-4","-4","-4"
"ADNI1","LONIUID","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","","N","-4","-4",""
"ADNI1","IMAGEUID","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","","N","-4","-4",""
"ADNI1","RUNDATE","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","","D","-4","-4",""
"ADNI1","VERSION","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","","D","-4","-4",""
"ADNI1","RAWQC","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","A QC rating of the raw Perfusion Weighted Image","T","-4","-4",""
"ADNI1","ST1MIN","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Min CBF value for FreeSurfer ROI: Brain-Stem","N","10","-4","ml / 100g tissue / min"
"ADNI1","ST1MAX","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Max CBF value for FreeSurfer ROI: Brain-Stem","N","10","-4","ml / 100g tissue / min"
"ADNI1","ST1MD","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Median CBF value for FreeSurfer ROI: Brain-Stem","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST1AVG","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Mean CBF value for FreeSurfer ROI: Brain-Stem","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST1SD","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Standard Deviation of Mean CBF value for FreeSurfer ROI: Brain-Stem","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST1CT","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Count of CBF voxels in FreeSurfer ROI: Brain-Stem","N","10","-4",""
"ADNI1","ST2MIN","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Min CBF value for FreeSurfer ROI: CC_Anterior","N","10","-4","ml / 100g tissue / min"
"ADNI1","ST2MAX","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Max CBF value for FreeSurfer ROI: CC_Anterior","N","10","-4","ml / 100g tissue / min"
"ADNI1","ST2MD","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Median CBF value for FreeSurfer ROI: CC_Anterior","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST2AVG","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Mean CBF value for FreeSurfer ROI: CC_Anterior","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST2SD","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Standard Deviation of Mean CBF value for FreeSurfer ROI: CC_Anterior","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST2CT","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Count of CBF voxels in FreeSurfer ROI: CC_Anterior","N","10","-4",""
"ADNI1","ST3MIN","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Min CBF value for FreeSurfer ROI: CC_Central","N","10","-4","ml / 100g tissue / min"
"ADNI1","ST3MAX","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Max CBF value for FreeSurfer ROI: CC_Central","N","10","-4","ml / 100g tissue / min"
"ADNI1","ST3MD","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Median CBF value for FreeSurfer ROI: CC_Central","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST3AVG","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Mean CBF value for FreeSurfer ROI: CC_Central","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST3SD","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Standard Deviation of Mean CBF value for FreeSurfer ROI: CC_Central","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST3CT","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Count of CBF voxels in FreeSurfer ROI: CC_Central","N","10","-4",""
"ADNI1","ST4MIN","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Min CBF value for FreeSurfer ROI: CC_Mid_Anterior","N","10","-4","ml / 100g tissue / min"
"ADNI1","ST4MAX","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Max CBF value for FreeSurfer ROI: CC_Mid_Anterior","N","10","-4","ml / 100g tissue / min"
"ADNI1","ST4MD","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Median CBF value for FreeSurfer ROI: CC_Mid_Anterior","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST4AVG","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Mean CBF value for FreeSurfer ROI: CC_Mid_Anterior","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST4SD","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Standard Deviation of Mean CBF value for FreeSurfer ROI: CC_Mid_Anterior","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST4CT","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Count of CBF voxels in FreeSurfer ROI: CC_Mid_Anterior","N","10","-4",""
"ADNI1","ST5MIN","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Min CBF value for FreeSurfer ROI: CC_Mid_Posterior","N","10","-4","ml / 100g tissue / min"
"ADNI1","ST5MAX","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Max CBF value for FreeSurfer ROI: CC_Mid_Posterior","N","10","-4","ml / 100g tissue / min"
"ADNI1","ST5MD","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Median CBF value for FreeSurfer ROI: CC_Mid_Posterior","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST5AVG","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Mean CBF value for FreeSurfer ROI: CC_Mid_Posterior","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST5SD","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Standard Deviation of Mean CBF value for FreeSurfer ROI: CC_Mid_Posterior","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST5CT","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Count of CBF voxels in FreeSurfer ROI: CC_Mid_Posterior","N","10","-4",""
"ADNI1","ST6MIN","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Min CBF value for FreeSurfer ROI: CC_Posterior","N","10","-4","ml / 100g tissue / min"
"ADNI1","ST6MAX","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Max CBF value for FreeSurfer ROI: CC_Posterior","N","10","-4","ml / 100g tissue / min"
"ADNI1","ST6MD","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Median CBF value for FreeSurfer ROI: CC_Posterior","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST6AVG","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Mean CBF value for FreeSurfer ROI: CC_Posterior","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST6SD","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Standard Deviation of Mean CBF value for FreeSurfer ROI: CC_Posterior","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST6CT","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Count of CBF voxels in FreeSurfer ROI: CC_Posterior","N","10","-4",""
"ADNI1","ST7MIN","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Min CBF value for FreeSurfer ROI: CSF","N","10","-4","ml / 100g tissue / min"
"ADNI1","ST7MAX","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Max CBF value for FreeSurfer ROI: CSF","N","10","-4","ml / 100g tissue / min"
"ADNI1","ST7MD","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Median CBF value for FreeSurfer ROI: CSF","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST7AVG","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Mean CBF value for FreeSurfer ROI: CSF","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST7SD","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Standard Deviation of Mean CBF value for FreeSurfer ROI: CSF","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST7CT","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Count of CBF voxels in FreeSurfer ROI: CSF","N","10","-4",""
"ADNI1","ST8MIN","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Min CBF value for FreeSurfer ROI: 5th-Ventricle","N","10","-4","ml / 100g tissue / min"
"ADNI1","ST8MAX","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Max CBF value for FreeSurfer ROI: 5th-Ventricle","N","10","-4","ml / 100g tissue / min"
"ADNI1","ST8MD","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Median CBF value for FreeSurfer ROI: 5th-Ventricle","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST8AVG","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Mean CBF value for FreeSurfer ROI: 5th-Ventricle","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST8SD","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Standard Deviation of Mean CBF value for FreeSurfer ROI: 5th-Ventricle","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST8CT","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Count of CBF voxels in FreeSurfer ROI: 5th-Ventricle","N","10","-4",""
"ADNI1","ST9MIN","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Min CBF value for FreeSurfer ROI: 4th-Ventricle","N","10","-4","ml / 100g tissue / min"
"ADNI1","ST9MAX","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Max CBF value for FreeSurfer ROI: 4th-Ventricle","N","10","-4","ml / 100g tissue / min"
"ADNI1","ST9MD","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Median CBF value for FreeSurfer ROI: 4th-Ventricle","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST9AVG","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Mean CBF value for FreeSurfer ROI: 4th-Ventricle","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST9SD","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Standard Deviation of Mean CBF value for FreeSurfer ROI: 4th-Ventricle","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST9CT","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Count of CBF voxels in FreeSurfer ROI: 4th-Ventricle","N","10","-4",""
"ADNI1","ST11MIN","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Min CBF value for FreeSurfer ROI: Left-Accumbens-area","N","10","-4","ml / 100g tissue / min"
"ADNI1","ST11MAX","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Max CBF value for FreeSurfer ROI: Left-Accumbens-area","N","10","-4","ml / 100g tissue / min"
"ADNI1","ST11MD","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Median CBF value for FreeSurfer ROI: Left-Accumbens-area","F","53","-4","ml / 100g tissue / min"
"ADNI1","ST11AVG","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","Mean CBF value for FreeSurfer ROI: Left-Accumbens-area","F","53","-4","ml / 100g tissue / min"
